Area_Description,2018.0,"Abduction, Harassment and Other Related Offences Against a Person",Acts Intended to Cause Injury,"Robbery, Extortion and Related Offences",Sexual Assault and Related Offences,Theft and Related Offences,"Unlawful Entry With Intent/Burglary, Break and Enter"
Inlets other Auckland,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaipara Hills,630.0,0.0,0.0,0.0,0.0,0.0,0.0
Karaka Creek,519.0,0.0,0.0,0.0,0.0,0.0,0.0
Karaka Lakes,642.0,0.0,0.0,0.0,0.0,0.0,0.0
Karangahape,1074.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaurilands,1041.0,0.0,9.0,2.0,0.0,41.0,22.0
Kawakawa Bay-Orere,765.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelston,1452.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendallvale,348.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingseat-Karaka,936.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsland,1131.0,0.0,26.0,0.0,2.0,185.0,67.0
Kingsway,705.0,0.0,0.0,0.0,0.0,0.0,0.0
Kohimarama,1707.0,0.0,0.0,0.0,0.0,0.0,0.0
Konini,1203.0,0.0,8.0,0.0,0.0,18.0,18.0
Kumeu Rural,1122.0,0.0,0.0,0.0,0.0,0.0,0.0
Kumeu-Huapai,1110.0,0.0,0.0,0.0,0.0,0.0,0.0
Laingholm,843.0,0.0,0.0,0.0,0.0,18.0,12.0
Leabank,1047.0,0.0,30.0,7.0,3.0,93.0,78.0
Long Bay,414.0,0.0,2.0,0.0,0.0,25.0,18.0
Lynfield,2247.0,0.0,20.0,10.0,1.0,367.0,72.0
Mairangi Bay,1866.0,0.0,0.0,0.0,0.0,0.0,0.0
Mangere,4416.0,1.0,124.0,14.0,12.0,1334.0,187.0
Mangere Bridge,1002.0,0.0,32.0,7.0,2.0,117.0,42.0
Mangere Bridge Ambury,1152.0,0.0,0.0,0.0,0.0,0.0,0.0
Mangere Mascot,765.0,0.0,0.0,0.0,0.0,0.0,0.0
Mangere Mountain View,996.0,0.0,0.0,0.0,0.0,0.0,0.0
Manly,2238.0,0.0,0.0,0.0,0.0,0.0,0.0
Manukau,384.0,1.0,172.0,15.0,9.0,1927.0,86.0
Manurewa,2685.0,1.0,84.0,16.0,3.0,440.0,123.0
Maraetai,831.0,0.0,0.0,0.0,0.0,0.0,0.0
Massey,3552.0,0.0,18.0,0.0,1.0,35.0,58.0
Massey Road,1971.0,0.0,0.0,0.0,0.0,0.0,0.0
Massey Royal Road,864.0,0.0,0.0,0.0,0.0,0.0,0.0
Maungawhau,960.0,0.0,3.0,0.0,1.0,215.0,45.0
McLaren Park,1230.0,0.0,7.0,3.0,0.0,36.0,22.0
Meadowbank,1947.0,0.0,0.0,0.0,0.0,0.0,0.0
Mellons Bay,1365.0,0.0,6.0,0.0,0.0,18.0,19.0
Middlemore,0.0,0.0,34.0,0.0,3.0,61.0,3.0
Milford,2025.0,0.0,0.0,0.0,0.0,0.0,0.0
Millwater,1785.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Bay,1677.0,0.0,8.0,3.0,2.0,124.0,40.0
Mission Heights,1581.0,0.0,0.0,0.0,0.0,0.0,0.0
Morningside,1320.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount Albert,3963.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount Eden,4902.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount Roskill,3864.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount Roskill White Swan,1323.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount St John,987.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount Wellington,6519.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount Wellington Ferndale,1356.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount Wellington Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muriwai,444.0,0.0,0.0,0.0,0.0,0.0,0.0
Muriwai Valley-Bethells Beach,372.0,0.0,0.0,0.0,0.0,0.0,0.0
Murrays Bay,1554.0,0.0,0.0,0.0,0.0,0.0,0.0
Narrow Neck,1428.0,0.0,0.0,0.0,0.0,21.0,5.0
New Lynn,4716.0,0.0,32.0,3.0,4.0,199.0,84.0
New Lynn Seabrook,1011.0,0.0,0.0,0.0,0.0,0.0,0.0
New Windsor,2145.0,0.0,0.0,0.0,0.0,0.0,0.0
Newmarket,1608.0,1.0,67.0,13.0,5.0,632.0,55.0
North Harbour,276.0,0.0,0.0,0.0,0.0,0.0,0.0
