Address,Price,Bedroom,Bathroom,Garage,Other Feature 1,Other Feature 2,Furniture,Type_Apartment,Type_Carpark,Type_House,Type_Studio,Type_Townhouse,Type_Unit,Type_Unknown,Suburb
"2/22 St Leonards Rd, Mount Eden, Auckland City",440.0,1,1,1,,,0,0,0,0,0,0,1,0,Mount Eden
"430 Queen Street, Auckland Central, Auckland City",520.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"9 Princes Street, Auckland Central, Auckland City",2200.0,2,2,1,178m2,,0,1,0,0,0,0,0,0,Auckland Central
"32 Queen Mary Avenue, Epsom, Auckland City",1850.0,5,3,6,,,0,0,0,1,0,0,0,0,Epsom
"64/139 Quay Street, , Auckland Central, Auckland City",1095.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"21XX/6 Lorne Street, Auckland Central, Auckland City",980.0,2,2,,1 ensuite,,0,1,0,0,0,0,0,0,Auckland Central
"701 Great North Road, Grey Lynn, Auckland City",1250.0,5,2,4,,,0,0,0,1,0,0,0,0,Grey Lynn
"76 Albert Street, Auckland Central, Auckland City",530.0,2,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"8 Airedale , Auckland Central, Auckland City",580.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"1 Clare Place, Mount Wellington, Auckland City",690.0,3,1,,,,0,0,0,1,0,0,0,0,Mount Wellington
"18 Charlton Avenue, Mount Eden, Auckland City",1850.0,5,4,4,,,1,0,0,1,0,0,0,0,Mount Eden
"12 Waima Street, Grey Lynn, Auckland City",1500.0,7,2,,,,0,0,0,1,0,0,0,0,Grey Lynn
"57A Anita Avenue, Mount Roskill, Auckland City",890.0,4,3,,,,0,0,0,0,0,1,0,0,Mount Roskill
"83 Grand Drive, Remuera, Auckland City",940.0,3,2,,New build,,0,0,0,0,0,1,0,0,Remuera
"10/5 Orakei Road, Remuera, Auckland City",635.0,1,1,,,,0,0,0,0,0,0,1,0,Remuera
"22 Roseville Street, New Windsor, Auckland City",585.0,3,1,,,,0,0,0,1,0,0,0,0,New Windsor
"9/3 Eden Crescent, Auckland Central, Auckland City",620.0,2,1,1,,,0,1,0,0,0,0,0,0,Auckland Central
"4/326 Mt Eden Road, Mount Eden, Auckland City",550.0,2,1,1,,,0,0,0,0,0,0,1,0,Mount Eden
"33 Dovedale Place, Parnell, Auckland City",800.0,3,2,1,,,0,0,0,0,0,1,0,0,Parnell
"21 Parawai Crescent , Ponsonby, Auckland City",925.0,3,1,,,,0,0,0,1,0,0,0,0,Ponsonby
"7/22 Oak Street, Royal Oak, Auckland City",320.0,1,1,,,,0,0,0,1,0,0,0,0,Royal Oak
"24 Paku Lane, Mount Wellington, Auckland City",895.0,4,2,2,,,0,0,0,1,0,0,0,0,Mount Wellington
"D/72 Fairburn Road, Otahuhu, Auckland City",nan,3,2,1,139m2,,0,0,0,0,0,1,0,0,Otahuhu
"D/72 Fairburn Road, Otahuhu, Auckland City",nan,3,2,1,139m2,,0,0,0,0,0,1,0,0,Otahuhu
"G01/45 Union Street, Auckland Central, Auckland City",700.0,2,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"PU17/36-38 Parry Road, Mount Wellington, Auckland City",660.0,2,1,1,,,1,0,0,0,0,1,0,0,Mount Wellington
"102 Taniwha Street, Waiotaiki Bay, Auckland City",600.0,2,1,1,,,0,0,0,1,0,0,0,0,Waiotaiki Bay
"6/960 New North Road, Mount Albert, Auckland City",650.0,3,1,,,,0,1,0,0,0,0,0,0,Mount Albert
"GF/83 New North Road, Eden Terrace, Auckland City",530.0,1,1,1,,,0,1,0,0,0,0,0,0,Eden Terrace
"103/70 Pitt Street, Auckland Central, Auckland City",650.0,2,2,,,,1,1,0,0,0,0,0,0,Auckland Central
"L2/11 Pakenham Steet, Auckland Central, Auckland City",75.0,1,,,,,0,0,1,0,0,0,0,0,Auckland Central
"L2A/8 Upper Queen Street, Auckland Central, Auckland City",500.0,1,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"210 Richmond Road, Grey Lynn, Auckland City",1750.0,6,2,2,,,0,0,0,1,0,0,0,0,Grey Lynn
"150B Tripoli Road, Point England, Auckland City",990.0,4,3,2,,,0,0,0,1,0,0,0,0,Point England
"430 Queen Street, Auckland Central, Auckland City",530.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
